Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
N284JB	19000144	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2008	Corporation	01/23/2008	04/30/2019	Turbo-fan	No	50556641	NO	GE	CF34-10E6	01/24/2008	Standard	Transport	No
N284WN	32535	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	08/28/2007	02/28/2021	Turbo-fan	No	50557330	NO	CFM INTL	CFM56-7B24	07/23/2007	Standard	Transport	Yes
N28529	145512	EMBRAER	EMB-135LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	05/31/2002	04/30/2020	Turbo-fan	No	50561516	NO	ROLLS-ROYC	AE 3007A1P	10/06/2001	Standard	Transport	No
N285AA	28R-7435156	PIPER	PA-28R-200	Fixed Wing Single-Engine	None	None	1974	Corporation	02/03/2015	02/28/2021	Reciprocating	No	50560217	NO	LYCOMING	I0360 SER	01/09/1974	Standard	Normal	No
N285AY	1100	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2010	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50560245	NO	AMA/EXPR	UNKNOWN ENG	03/24/2010	Standard	Transport	No
N285WN	32536	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	08/25/2007	02/28/2021	Turbo-fan	No	50561217	NO	CFM INTL	CFM56-7B24	08/03/2007	Standard	Transport	Yes
N286AA	28R-7837152	PIPER	PA-28R-201	Fixed Wing Single-Engine	None	None	1978	Corporation	03/09/2016	03/31/2019	Reciprocating	No	50562106	NO	LYCOMING	I0360 SER	02/08/1978	Standard	Normal	No
N286AY	1415	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	None	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50562134	NO	ROLLS-ROYC	RR772B-60	05/23/2013	Standard	Transport	No
N286WN	32471	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2004	Corporation	08/16/2004	02/28/2021	Turbo-fan	No	50563106	NO	CFM INTL.	CFM56 SERIES	07/13/2004	Standard	Transport	Yes
N287AY	1417	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50564023	NO	ROLLS-ROYC	RB211 772B-60	05/31/2013	Standard	Transport	No
N287WN	32537	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	08/25/2007	02/28/2021	Turbo-fan	No	50564775	NO	CFM INTL	CFM56-7B24	08/08/2007	Standard	Transport	Yes
N288AY	1441	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50565712	NO	ROLLS-ROYC	RR772B-60	08/10/2013	Standard	Transport	No
N288WN	36611	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	09/05/2007	05/31/2021	Turbo-fan	No	50566664	NO	CFM INTL	CFM56-7B24	08/15/2007	Standard	Transport	Yes
N28912	34828	BOEING	787-8	Fixed Wing Multi-Engine	None	None	2014	Corporation	06/26/2014	06/30/2020	Turbo-fan	No	50571000	NO	GE	GENX-1B70/P2	06/25/2014	Standard	Transport	Yes
N289AY	1455	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50567601	NO	ROLLS-ROYC	RR772B-60	10/23/2013	Standard	Transport	No
N289CT	36633	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	09/06/2007	05/31/2021	Turbo-fan	No	50567656	NO	CFM INTL	CFM56-7B24	08/14/2007	Standard	Transport	Yes
N290AY	1480	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2013	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50572621	NO	ROLLS-ROYC	RR772B-60	12/18/2013	Standard	Transport	No
N290WN	36632	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	09/17/2007	05/31/2021	Turbo-fan	No	50573573	NO	CFM INTL	CFM56-7B24	08/23/2007	Standard	Transport	Yes
N29124	27565	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1998	Corporation	01/16/1998	04/30/2019	Turbo-fan	No	50575754	NO	ROLLS-ROYC	RB.211 SERIES	01/16/1998	Standard	Transport	No
N29129	28969	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1998	Corporation	03/27/1998	10/31/2019	Turbo-fan	No	50575761	NO	ROLLS-ROYC	RB.211 SERIES	03/25/1998	Standard	Transport	No
N291AY	1502	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2014	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50574510	NO	ROLLS-ROYC	RR772B-60	03/18/2014	Standard	Transport	No
N291WN	32539	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	09/27/2007	05/31/2021	Turbo-fan	No	50575462	NO	CFM INTL	CFM56-7B24	09/09/2007	Standard	Transport	Yes
N292AY	1512	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2014	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50576377	NO	ROLLS-ROYC	RR772B-60	04/02/2014	Standard	Transport	No
N292JB	19000179	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2008	Corporation	06/09/2008	08/31/2020	Turbo-fan	No	50576662	NO	GE	CF34-10E6	06/10/2008	Standard	Transport	No
N292WN	32538	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/03/2007	08/31/2021	Turbo-fan	No	50577351	NO	CFM INTL	CFM56-7B24	09/14/2007	Standard	Transport	Yes
N293AY	1526	AIRBUS	A330-243	Fixed Wing Multi-Engine	None	None	2014	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50600266	NO	ROLLS-ROYC	RR772B-60	05/24/2014	Standard	Transport	No
N293WN	36612	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/09/2007	08/31/2021	Turbo-fan	No	50601240	NO	CFM INTL	CFM56-7B24	09/18/2007	Standard	Transport	Yes
N294JB	19000185	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2008	Corporation	06/24/2008	08/31/2020	Turbo-fan	No	50602440	NO	GE	CF34-10E6	06/25/2008	Standard	Transport	No
N294WN	32540	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/15/2007	08/31/2021	Turbo-fan	No	50603127	NO	CFM INTL	CFM56-7B24	09/25/2007	Standard	Transport	Yes
N295WN	32541	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	11/19/2007	11/30/2021	Turbo-fan	No	50605016	NO	CFM INTL	CFM56-7B24	10/27/2007	Standard	Transport	Yes
N296JB	19000219	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2008	Corporation	11/03/2008	10/31/2021	Turbo-fan	No	50606216	NO	GE	CF34-10E6	11/04/2008	Standard	Transport	Yes
N296WN	36613	BOEING	737-7H4	Fixed Wing Multi-Engine	None	None	2007	Corporation	11/14/2007	11/30/2021	Turbo-fan	No	50606705	NO	CFM INTL	CFM56-7B24	10/22/2007	Standard	Transport	Yes
N29717	28936	BOEING	737-724	Fixed Wing Multi-Engine	None	None	1999	Corporation	01/26/1999	04/30/2019	Turbo-fan	No	50611026	NO	CFM INTL.	CFM56 SERIES	01/22/1999	Standard	Transport	Yes
